sent_id,type,idiom_id,group,trial_order,rt_raw_ms,unit_rt_ms,unit_rt_log,participant,biasing_context,resolution_type,idiom,ipm,ipm_bri,frequency,familiarity,literality,is_low
42,3,11,2,1,1353.865599958226,123.07869090529329,4.812823914268688,0012,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1008.5834000492471,91.68940000447701,4.518406778300373,0012,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1036.420300020836,94.22002727462146,4.545632762749899,0025,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1097.895800019614,99.80870909269218,4.603255444967847,0025,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1155.359899974428,105.03271817949344,4.654271903329255,0028,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1018.022300093435,92.5474818266759,4.527721829861398,0028,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1239.177700015716,112.65251818324691,4.724308020674095,0049,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1524.65569996275,138.60506363297728,4.931628620236912,0049,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,703.6787999095395,63.97079999177632,4.1584267291174175,0063,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,707.1189000271261,64.28353636610237,4.163303554385636,0063,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,724.3078000610694,65.8461636419154,4.187321167447601,0069,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,19,1280.261600040831,116.38741818553008,4.75692443826546,0070,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,29,994.5641000522301,90.41491818656637,4.504409277970819,0070,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1073.782099992968,97.61655454481526,4.581047095273701,0085,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,918.7671000836417,83.52428182578561,4.425137389891405,0094,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,976.6924000578001,88.79021818707274,4.486276488379573,0094,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,703.6787999095395,63.97079999177632,4.1584267291174175,0163,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,707.1189000271261,64.28353636610237,4.163303554385636,0163,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,918.7671000836417,83.52428182578561,4.425137389891405,0194,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,976.6924000578001,88.79021818707274,4.486276488379573,0194,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,1,1353.865599958226,123.07869090529329,4.812823914268688,0213,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1008.5834000492471,91.68940000447701,4.518406778300373,0213,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1239.177700015716,112.65251818324691,4.724308020674095,0549,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1524.65569996275,138.60506363297728,4.931628620236912,0549,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,12,1979.812299949117,179.98293635901064,5.192862048391099,0552,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,27,1974.318400025368,179.4834909113971,5.190083231060135,0552,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1036.420300020836,94.22002727462146,4.545632762749899,0625,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1097.895800019614,99.80870909269218,4.603255444967847,0625,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1155.359899974428,105.03271817949344,4.654271903329255,0628,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1018.022300093435,92.5474818266759,4.527721829861398,0628,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1073.782099992968,97.61655454481526,4.581047095273701,0685,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,673.6981000285596,61.24528182077814,4.114886814960259,0698,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,21,807.0892000105232,73.37174545550211,4.295538922213983,0698,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,1,791.9344999827445,71.99404545297676,4.2765834135540635,0705,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,11,644.0029999939725,58.54572727217931,4.069808111670866,0705,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,724.3078000610694,65.8461636419154,4.187321167447601,0912,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,1,1353.865599958226,123.07869090529329,4.812823914268688,1213,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1008.5834000492471,91.68940000447701,4.518406778300373,1213,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1239.177700015716,112.65251818324691,4.724308020674095,1549,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1524.65569996275,138.60506363297728,4.931628620236912,1549,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,918.7671000836417,83.52428182578561,4.425137389891405,2194,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,976.6924000578001,88.79021818707274,4.486276488379573,2194,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1036.420300020836,94.22002727462146,4.545632762749899,2625,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1097.895800019614,99.80870909269218,4.603255444967847,2625,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1073.782099992968,97.61655454481526,4.581047095273701,3685,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,12,1979.812299949117,179.98293635901064,5.192862048391099,5552,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,27,1974.318400025368,179.4834909113971,5.190083231060135,5552,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,673.6981000285596,61.24528182077814,4.114886814960259,5698,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,21,807.0892000105232,73.37174545550211,4.295538922213983,5698,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,1,791.9344999827445,71.99404545297676,4.2765834135540635,5705,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,11,644.0029999939725,58.54572727217931,4.069808111670866,5705,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,724.3078000610694,65.8461636419154,4.187321167447601,6912,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,703.6787999095395,63.97079999177632,4.1584267291174175,7163,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,707.1189000271261,64.28353636610237,4.163303554385636,7163,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1155.359899974428,105.03271817949344,4.654271903329255,7628,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1018.022300093435,92.5474818266759,4.527721829861398,7628,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,19,1280.261600040831,116.38741818553008,4.75692443826546,7704,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,29,994.5641000522301,90.41491818656637,4.504409277970819,7704,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
