sent_id,type,idiom_id,group,trial_order,rt_raw_ms,unit_rt_ms,unit_rt_log,participant,biasing_context,resolution_type,idiom,ipm,ipm_bri,frequency,familiarity,literality,is_low
42,3,11,2,1,2672.395000001416,127.2569047619722,4.8462079153492805,0012,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1361.721799941733,85.10761249635831,4.443916485119825,0012,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,12,1649.151799967512,78.53103809369105,4.363493936370991,0025,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,1230.70590000134,76.91911875008375,4.342754463947771,0025,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,10,1881.8531000288199,89.61205238232476,4.495489824130385,0028,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,26,913.4442999493331,57.09026874683332,4.044633677389038,0028,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,7,1698.619700036943,106.16373125230893,4.6649825368470355,0049,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,10,1637.38780003041,77.97084762049572,4.356335008373047,0049,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,1003.204299951904,62.700268746994,4.138365733865638,0063,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,3525.496899965219,167.88080476024854,5.123254232117521,0063,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,4,1817.563199903816,86.55062856684837,4.460729544066654,0069,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,19,988.1021999754012,61.75638749846257,4.123197411429056,0070,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,29,1335.542399901897,63.59725713818557,4.152570342658002,0070,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,25,1479.775200015865,70.4654857150412,4.255123025616825,0085,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,793.197000049986,37.771285716666,3.631549176829824,0094,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,969.1680000396445,60.573000002477784,4.1038492492772525,0094,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,5,1003.204299951904,62.700268746994,4.138365733865638,0163,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,17,3525.496899965219,167.88080476024854,5.123254232117521,0163,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
40,1,11,1,17,793.197000049986,37.771285716666,3.631549176829824,0194,0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
43,4,11,1,19,969.1680000396445,60.573000002477784,4.1038492492772525,0194,-0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
42,3,11,2,1,2672.395000001416,127.2569047619722,4.8462079153492805,0213,-0.5,0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
41,2,11,2,4,1361.721799941733,85.10761249635831,4.443916485119825,0213,0.5,-0.5,снять голову,0.19161808802609326,0.7845267603033933,-1.9470579213475734,-3.0950024680704513,-0.7008894464105709,1
